,Date,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.,Copper_Price,Copper_Vol.
0,2/2/2024,2.079,,72.28,,3.8215,
1,1/2/2024,2.05,161340,73.82,577940,3.8535,
2,31-01-2024,2.1,142860,75.85,344490,3.906,
3,30-01-2024,2.077,139750,77.82,347240,3.911,
4,29-01-2024,2.49,3590,76.78,331930,3.879,
5,26-01-2024,2.712,73020,78.01,365460,3.852,
6,25-01-2024,2.571,44980,77.36,320180,3.869,
7,24-01-2024,2.641,65500,75.09,323730,3.886,
8,23-01-2024,2.45,69160,74.37,306060,3.7935,
9,22-01-2024,2.419,121580,75.19,28910,3.7635,
10,19-01-2024,2.519,138430,73.41,78230,3.7865,
11,18-01-2024,2.697,151820,74.08,86650,3.745,
12,17-01-2024,2.87,150330,72.56,315680,3.733,
13,16-01-2024,2.9,228160,72.4,430440,3.7665,
14,12/1/2024,3.313,265880,72.68,403640,3.7405,
15,11/1/2024,3.097,235030,72.02,373650,3.7765,
16,10/1/2024,3.039,258010,71.37,352770,3.781,
17,9/1/2024,3.19,351780,72.24,363450,3.7585,
18,8/1/2024,2.98,237670,70.77,392250,3.81,
19,5/1/2024,2.893,187500,73.81,325530,3.806,
20,4/1/2024,2.821,206310,72.19,344470,3.844,
21,3/1/2024,2.668,166470,72.7,334860,3.8615,
22,2/1/2024,2.568,132450,70.38,330990,3.8805,
23,29-12-2023,2.514,89600,71.65,214490,3.8915,
24,28-12-2023,2.557,116060,71.77,262750,3.9245,
25,27-12-2023,2.619,3930,74.11,253320,3.956,
26,26-12-2023,2.55,50760,75.57,208720,3.902,38000
27,22-12-2023,2.61,42840,73.56,222600,3.905,54140
28,21-12-2023,2.572,84550,73.89,251980,3.9175,70080
29,20-12-2023,2.447,125260,74.22,273360,3.906,66320
30,19-12-2023,2.492,170440,73.44,25690,3.898,84950
31,18-12-2023,2.503,154300,72.47,73940,3.852,54990
32,15-12-2023,2.491,189240,71.43,95510,3.8905,73670
33,14-12-2023,2.392,159490,71.58,275690,3.8925,107540
34,13-12-2023,2.335,255190,69.47,307000,3.7875,62860
35,12/12/2023,2.311,223460,68.61,324530,3.7875,69520
36,11/12/2023,2.35,144300,71.32,274410,3.7805,66610
37,8/12/2023,2.504,88300,71.23,302250,3.8305,89400
38,7/12/2023,2.52,125250,69.34,339000,3.7975,78530
39,6/12/2023,2.517,82950,69.38,436800,3.7345,83430
40,5/12/2023,2.667,42490,72.32,358700,3.784,96110
41,4/12/2023,2.651,53830,73.04,388830,3.8355,95060
42,1/12/2023,2.773,48470,74.07,358980,3.9315,106080
43,30-11-2023,2.802,147750,75.96,559170,3.8505,76490
44,29-11-2023,2.804,141590,77.86,322170,3.8255,76390
45,28-11-2023,2.706,4140,76.41,286620,3.8285,640
46,27-11-2023,2.794,67040,74.86,289560,3.789,200
47,24-11-2023,2.855,34120,75.54,281150,3.8205,190
48,22-11-2023,2.897,59220,77.1,389330,3.797,150
49,21-11-2023,2.846,103670,77.77,238630,3.8395,120
50,20-11-2023,2.882,113700,77.6,27250,3.8335,310
